,id,age,highest_education,profession,hispanic,weekly_hours_worked,in_college,is_married,schoolmeals_purchases,self_employed,sex,supp_security,reason_unemployment,main_profession,numweeks_schoolmeals,id_2,psu,psu_popsize,net_income,total_food_percent,rent_income_percent,alcbev_percent,bakery_percent,beef_percent,cereal_percent,child_age,housing_type,census_division,eggs_percent,fam_size,food_away_percent,food_home_percent,fresh_fruit_percent,fresh_veg_percent,value_foodstamps,number_foodstamps,non_alc_grocery_percent,milk_percent,number_earners,non_alc_bevs_percent,oils_percent,othdairy_percent,othmeat_percent,members_under18,members_over64,pet_food_percent,pork_percent,procfruit_percent,proc_veg_percent,spouse_race,seafood_percent,smoking_percent,lives_in_MSA,state,sweets_percent,vehicle
5360,381685,50,Some college but no degree,Paid employee of a PRIVATE company,No,35.0,Not at all,Married,,Yes,Female,,,101.0,,381685,"Honolulu, HI",0.33-1.19 mil,94453.4,0.0706090014758601,,0.0,0.0015745330501601802,0.0,0.0,0,"House, apartment, flat",Pacific,0.0073878577160801,3,0.0108730866226097,0.0597359148532504,0.00372929254002503,0.00902358559882439,,,0.110107206304908,1.35763773458658e-05,2,0.0,0.0083185994363358,0.0,0.0,0,1,0.0,0.0,0.011082290314588999,0.0,4.0,0.0115089557390205,0.0,Yes,Hawaii,0.000669212331160128,2.0
5375,381715,70,Bachelor’s degree,,No,,Not at all,Married,,No,Male,,Retired,930.0,,381715,"Honolulu, HI",0.33-1.19 mil,199574.2,0.0341799864912398,,0.00245791560231733,0.0009497219580486859,0.0,0.00030615179717618797,0,"House, apartment, flat",Pacific,0.000454667988146764,2,0.0136365495139151,0.0205434369773247,0.00264723596537027,0.004180600498461221,,,0.0312665665201213,0.0,0,0.00112299084751436,0.0,0.00075239084009857,0.0,0,1,0.0,0.0,0.000373896024636451,0.000707406067517745,4.0,0.0016414947423063699,0.0,Yes,Hawaii,0.00040907091197158797,1.0
5377,381717,62,Bachelor’s degree,,No,40.0,Not at all,Separated,,No,Female,,Unable to find work,800.0,,381717,"Honolulu, HI",0.33-1.19 mil,78104.6,0.41363197891033293,,0.0199732154060068,0.00792863416495315,0.0234152661943087,0.008021599496060409,7,"House, apartment, flat",Pacific,0.00503990802078239,5,0.126184117196682,0.287447861713651,0.0280474176937082,0.0297169654540194,,,0.14647024631071698,9.84488749702322e-05,2,0.0160295872458216,0.00624495868361146,0.0134725163434676,0.00155791080166853,0,1,0.0069573366997590395,0.0184053179966353,0.0104504323689002,0.0101955142206733,,0.0291276058004266,0.0,Yes,Hawaii,0.00852814686971062,4.0
5482,382999,67,Master’s or greater,Self-employed,No,25.0,Not at all,Never married,,Yes,Female,,,210.0,,382999,"Honolulu, HI",0.33-1.19 mil,253147.6,0.00998105453103249,,0.0,0.00150260164425813,0.0,0.0,0,"House, apartment, flat",Pacific,0.0,1,0.00192061864303671,0.00806043588799578,0.00161044386753025,0.0008493858918670371,,,0.0205413758613552,0.0,1,0.0,0.0,0.00150260164425813,0.0,0,1,0.0,0.0,0.0,0.0,,0.0,0.0,Yes,Hawaii,0.0,1.0
5515,383092,61,High school graduate,Paid employee of a PRIVATE company,No,40.0,Not at all,Divorced,,No,Female,,,103.0,,383092,"Honolulu, HI",0.33-1.19 mil,24645.2,0.316903088633892,,0.0,0.0234309317838768,0.0,0.0150650025157029,7,"House, apartment, flat",Pacific,0.0247707464333826,2,0.149225812734326,0.167677275899567,0.0104653238764546,0.0,,,0.210994432993037,0.000190503627481213,1,0.0297291156087189,0.00438868420625517,0.0,0.0013820135361043901,0,0,0.0,0.0,0.0,0.0,,0.0,0.0,Yes,Hawaii,0.0,2.0
5574,383224,59,Bachelor’s degree,Self-employed,No,45.0,Not at all,Never married,,Yes,Male,,,201.0,,383224,"Honolulu, HI",0.33-1.19 mil,228677.2,0.043546099042668,,0.000711745639705226,0.000592363383844126,0.000538925612172967,0.00129160231103057,0,"House, apartment, flat",Pacific,0.000923222778659175,2,0.00287085900999313,0.0406752400326749,0.00527442176132994,0.0012188359836485699,,,0.0295613204989391,1.08668463668437e-05,1,0.0030016110045076603,0.0,0.0112082883645593,0.0022523452272460898,0,0,0.0,0.0016611188172673099,0.00173502211851466,0.00029675017885473503,,0.000949373177562083,0.0,Yes,Hawaii,0.00354622148600735,2.0
5576,383226,43,Bachelor’s degree,A State government employee,No,47.5,Not at all,Married,,No,Female,,,102.0,,383226,"Honolulu, HI",0.33-1.19 mil,120000.0,0.05731699999999999,,0.0,0.0015795,0.0100186666666667,0.0050895,1,"House, apartment, flat",Pacific,0.0,3,0.0214413333333333,0.0358756666666667,0.0,0.0016769999999999999,,,0.0433333333333333,6.04583333333333e-05,2,0.0,0.0,0.0,0.00169866666666667,1,0,0.0,0.00404733333333333,0.0,0.0,6.0,0.0,0.0018546666666666698,Yes,Hawaii,0.0,2.0
5633,383343,66,High school graduate,Paid employee of a PRIVATE company,No,20.0,Not at all,Married,,No,Female,,,110.0,,383343,"Honolulu, HI",0.33-1.19 mil,111620.1,0.0172370388487378,,0.0,0.0,0.0,0.0,0,"House, apartment, flat",Pacific,0.0,2,0.0172370388487378,0.0,0.0,0.0,,,0.0232932957415376,0.0,1,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Yes,Hawaii,0.0,1.0
5794,383705,75,High school graduate,,No,40.0,Not at all,Married,,No,Female,,Retired,930.0,,383705,"Honolulu, HI",0.33-1.19 mil,82486.0,0.30109257352762897,,0.0,0.0052101180806439894,0.008258371117522971,0.0011126736658342,7,"House, apartment, flat",Pacific,0.00278956428969765,3,0.167483476226269,0.13360909730136,0.0006291491889532769,0.00772400407341852,,,0.031520500448561,6.31622335911549e-05,1,0.0173205149964843,0.004731227117329001,0.00751133525689208,0.0128414518827437,0,2,0.00207089687947046,0.00306379264360013,0.000658778459374924,0.0029270283442038698,4.0,0.0173142108963945,0.0,Yes,Hawaii,0.0020614407293358897,2.0
5866,383871,72,Bachelor’s degree,,No,,Not at all,Never married,,No,Female,,Retired,930.0,,383871,"Honolulu, HI",0.33-1.19 mil,39343.2,0.183128588421887,,0.0,0.037847852233677,0.00396301876817341,0.0020310203542162303,0,"House, apartment, flat",Pacific,0.00303330689928628,1,0.0130651467089611,0.170063441712926,0.0256183782712133,0.0062786346814697296,,,0.0660851176315094,0.000109802964680046,0,0.0176135408406027,0.0,0.0169673010837959,0.0,0,1,0.0376486915146709,0.0,0.0,0.0,,0.0122257467618292,0.0,Yes,Hawaii,0.011122125297383002,1.0
