,id,age,highest_education,profession,avg(GROSPAYX),hispanic,weekly_hours_worked,in_college,is_married,schoolmeals_purchases,self_employed,sex,supp_security,reason_unemployment,main_profession,numweeks_schoolmeals,id_2,psu,psu_popsize,net_income,FWAGEXM,alcbev,bakery,beef,cereal,child_age,housing_type,census_division,eggs,fam_size,food_away,food_home,total_food,fresh_fruit,fresh_veg,value_foodstamps,number_foodstamps,non_alc_grocery,milk,number_earners,non_alc_bevs,oils,othdairy,othmeat,members_under18,members_over64,pet_food,pork,procfruit,proc_veg,spouse_race,foodstamp_or_not,seafood,smoking,lives_in_MSA,state,sweets,vehicle,miscellaneous,poultry,total_food_percent
1899,368034,26,Some college but no degree,Self-employed,,No,36.0,Not at all,Never married,,Yes,Female,,,210.0,,368034,Rest of America,"125,000 - 330,000",49418.2,6581.2,0.0,0.0,0.0,0.0,1,"House, apartment, flat",East South Central,0.0,3,7.305,0.0,7.305,0.0,0.0,,,120.0,0.0,2,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,,No,0.0,2.995,No,,0.0,1.0,0.0,0.0,0.007686641763560794
1900,368036,81,Some college but no degree,,,No,,Not at all,Widowed,,No,Female,,Retired,930.0,,368036,Rest of America,"125,000 - 330,000",17616.0,0.0,0.0,1.635,0.0,1.645,0,"House, apartment, flat",West North Central,0.0,1,10.0,35.675,45.675,3.81,1.24,,,20.0,2.635,0,1.99,2.42,2.98,2.835,0,1,0.0,0.0,0.0,0.0,,No,1.765,0.0,Yes,Nebraska,9.525,,3.195,0.0,0.13482629427792914
1901,368038,62,Master’s or greater,A Federal government employee,4000.0,No,36.0,Not at all,Married,,No,Male,,,103.0,,368038,"Houston-The Woodlands-Sugar Land, TX",4 mil+,153100.0,153000.0,3.78,17.655,16.885,3.99,0,"House, apartment, flat",West South Central,2.97,2,55.314305000000004,136.315,191.62930500000002,2.97,9.295,,,200.0,1.74,2,6.255,4.685,8.275,4.19,0,0,0.0,3.835,3.005,11.225,1.0,No,1.035,0.0,Yes,Texas,10.015,2.0,17.18,11.11,0.065086374003919
1902,368039,64,Bachelor’s degree,Self-employed,654.0,No,15.0,Not at all,Married,,Yes,Female,,,203.0,,368039,Rest of America,1.20-4 mil,64378.8,25700.0,17.35,6.76,0.0,2.38,0,"House, apartment, flat",West South Central,0.0,2,253.52,100.265,353.785,8.205,6.125,,,65.0,1.49,2,9.875,0.0,20.83,3.735,0,0,8.19,2.995,0.0,0.0,1.0,No,0.0,0.0,Yes,Texas,5.495,2.0,27.885,4.49,0.28575897655750027
1906,368048,60,High school graduate,Paid employee of a PRIVATE company,750.0,No,54.0,Not at all,Married,,No,Female,,,104.0,,368048,"Baltimore-Columbia-Towson, MD",1.20-4 mil,296184.8,275230.8,41.5,12.19,3.045,2.735,0,"House, apartment, flat",South Atlantic,0.945,2,73.15,76.7,149.85,1.2,4.91,,,85.0,1.845,2,1.32,1.84,7.395,0.0,0,0,0.0,6.395,3.99,18.51,1.0,No,0.0,0.0,Yes,,0.0,6.0,6.975,3.405,0.02630857491674117
1907,368052,51,"Some high school, no degree",Self-employed,,Yes,35.0,,Never married,,Yes,Male,,,210.0,,368052,"New York-Newark-Jersey City, NY-NJ-PA",4 mil+,29446.4,9000.0,0.0,8.79088,2.702725,0.0,0,"House, apartment, flat",Middle Atlantic,1.7361400000000002,1,12.0,60.000025,72.000025,5.510955,5.217585,,,100.0,3.503875,1,6.272805,5.143635,3.37544,0.0,0,0,0.0,2.7534349999999996,0.0,0.0,,No,3.389325,0.0,Yes,New York,3.657915,,5.54275,2.40256,0.12714631669745707
1908,368053,65,Bachelor’s degree,,,No,,Not at all,Widowed,,No,Male,,Retired,930.0,,368053,Rest of America,1.20-4 mil,15312.0,0.0,0.0,0.0,0.0,0.0,0,"House, apartment, flat",South Atlantic,0.0,1,14.005,0.0,14.005,0.0,0.0,,,40.0,0.0,0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,,No,0.0,0.0,Yes,North Carolina,0.0,1.0,0.0,0.0,0.047561389759665625
1911,368056,24,Associate’s degree in college,A State government employee,425.0,No,20.0,Full time,Never married,,No,Female,,,104.0,,368056,Rest of America,1.20-4 mil,15545.2,12541.2,0.0,2.495,0.0,0.0,0,"House, apartment, flat",Pacific,0.0,1,18.645,13.02,31.665,1.745,2.495,,,5.0,0.0,1,2.745,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,,No,1.745,0.0,Yes,Oregon,0.3,1.0,1.495,0.0,0.10592208527391091
1912,368057,33,"Some high school, no degree",Paid employee of a PRIVATE company,,Yes,40.0,,Married,,No,Female,,,105.0,,368057,Rest of America,1.20-4 mil,128000.0,128000.0,0.0,2.845,0.0,14.235,0,"House, apartment, flat",West South Central,0.745,2,0.0,169.525,169.525,4.525,4.765,,,95.0,6.355,2,51.275,1.545,22.68,2.815,0,0,1.39,4.325,0.92,1.485,1.0,No,0.0,0.0,Yes,Oklahoma,0.515,3.0,35.395,15.1,0.06886953125
1913,368062,79,Bachelor’s degree,,,No,,Not at all,Married,,No,Male,,Retired,930.0,,368062,"Minneapolis-St. PaulBloomington, MN-WI",1.20-4 mil,34722.0,0.0,54.28,9.275,12.535,0.0,0,"House, apartment, flat",West North Central,0.945,2,20.66,145.475,166.135,8.175,5.715,,,100.0,0.895,0,48.245,8.025,16.46,10.463705000000001,0,2,0.0,2.7112950000000002,0.0,1.345,1.0,No,6.21,0.0,Yes,,4.84,2.0,9.635,0.0,0.2488053683543575
1914,368067,56,High school graduate,Paid employee of a PRIVATE company,3450.0,No,42.5,Not at all,Married,,No,Male,,,101.0,,368067,Rest of America,"< 125,000",97000.0,97000.0,0.0,11.245,0.0,0.51,0,"House, apartment, flat",West South Central,0.0,2,144.79,76.265,221.055,5.43,0.0,,,100.0,0.0,2,11.21,1.955,5.525,4.04,0,0,43.62,6.096030000000001,1.105,4.54,1.0,No,1.44,0.0,No,,5.075,3.0,15.563970000000001,2.53,0.1185037113402062
1915,368068,38,Some college but no degree,Paid employee of a PRIVATE company,1154.0,No,35.0,Not at all,Never married,,No,Male,,,112.0,,368068,Rest of America,"125,000 - 330,000",30000.0,30000.0,0.0,0.0,0.0,0.0,0,Mobile home or trailer with one or more permanent rooms added,Pacific,1.0,1,7.625,7.375,15.0,0.0,0.0,,,110.0,1.875,1,0.0,0.0,2.5,2.0,0,0,9.0,0.0,0.0,0.0,,No,0.0,4.87,Yes,California,0.0,3.0,0.0,0.0,0.026
1916,368069,60,Bachelor’s degree,A State government employee,3175.0,No,37.0,Not at all,Divorced,,No,Male,,,103.0,,368069,"Chicago-Naperville-Elgin, IL-INWI",4 mil+,67779.0,67779.0,0.0,0.0,4.77,0.0,0,"House, apartment, flat",East North Central,0.0,1,23.96,33.5,57.46,0.0,0.505,,,113.0,0.0,1,2.315,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,,No,0.0,0.0,Yes,Illinois,0.0,1.0,20.695,5.215,0.04408327062954603
1917,368073,54,Associate’s degree in college,Paid employee of a PRIVATE company,1846.0,No,40.0,Not at all,Divorced,,No,Female,,,104.0,,368073,"New York-Newark-Jersey City, NY-NJ-PA",4 mil+,50000.0,45000.0,0.0,9.15,0.0,4.29,5,"House, apartment, flat",Middle Atlantic,0.0,2,6.345,90.18,96.525,9.11,7.495,,,90.0,1.995,1,5.17,2.805,6.45,4.85,1,0,0.0,3.67,2.99,2.415,,No,0.3,0.0,Yes,New Jersey,1.75,2.0,23.23,4.51,0.100386
1918,368075,42,"Some high school, no degree",Paid employee of a PRIVATE company,1200.0,Yes,40.0,,Divorced,,No,Male,,,113.0,,368075,Rest of America,"< 125,000",40000.0,40000.0,4.465,20.09,13.09,0.0,0,"House, apartment, flat",,1.4,1,254.7,170.09,424.79,4.7,2.5,,,50.0,4.25,1,21.09,8.125,0.0,0.0,0,0,10.0,12.5,2.25,4.24,,No,1.59,0.0,No,,6.025,,60.54,7.7,0.552227
1919,368077,35,Master’s or greater,A State government employee,2750.0,No,40.0,Not at all,Married,,No,Female,,,102.0,,368077,Rest of America,0.33-1.19 mil,119020.0,119000.0,50.325,9.43121,6.499994999999999,0.0,0,"House, apartment, flat",South Atlantic,0.795,2,88.73,98.659995,187.389995,6.11,8.2,,,50.0,1.64,2,23.205,4.8,3.99,0.0,0,0,0.0,0.0,4.335,1.99,1.0,No,0.0,0.0,Yes,Georgia,0.0,3.0,22.81379,4.85,0.081870943874979
1920,368078,46,High school graduate,,,No,45.0,Not at all,Separated,,No,Female,,"Ill, disabled, unable to work",900.0,,368078,Rest of America,0.33-1.19 mil,29886.8,29886.8,0.0,12.995,0.0,1.66,0,"House, apartment, flat",South Atlantic,0.545,2,13.175,49.89,63.065,0.0,1.495,,,40.0,1.395,1,12.02,1.105,1.295,2.5,0,0,0.0,7.175,0.0,2.5,,No,0.0,41.83,Yes,South Carolina,2.755,,0.0,2.45,0.10972670208921666
1921,368081,30,Some college but no degree,Paid employee of a PRIVATE company,1410.33333333333,No,43.3333333333333,Not at all,Married,,No,Male,,,111.0,,368081,"New York-Newark-Jersey City, NY-NJ-PA",4 mil+,170100.0,170000.0,48.913405,1.495,0.0,12.925,0,"House, apartment, flat",Middle Atlantic,6.09,3,183.221595,178.325,361.546595,6.335,21.055,,,100.0,18.67,3,12.69,4.84,26.09,6.32,0,0,0.0,20.175,0.0,2.525,1.0,No,10.995,86.245,Yes,New Jersey,2.99,3.0,12.62,12.51,0.11052570805408583
1922,368082,67,Grade 8 or lower,,,No,,,Never married,,No,Female,288.0,"Ill, disabled, unable to work",900.0,,368082,Rest of America,"< 125,000",5904.0,0.0,0.0,2.475,1.52,0.0,0,Mobile home or trailer with NO permanent room added,,1.62,1,4.505,27.465,31.97,1.795,0.0,,,60.0,2.895,0,2.465,0.0,1.03,0.0,0,1,0.0,0.0,0.0,1.825,,No,0.0,0.0,No,,1.015,,10.825,0.0,0.28157859078590786
1923,368084,74,Bachelor’s degree,A State government employee,2497.5,No,23.0,Part time,Married,,No,Male,,,102.0,,368084,"Los Angeles-Long Beach-Anaheim, CA",4 mil+,51111.0,15800.0,0.0,9.775889999999999,8.657095,3.069435,0,"House, apartment, flat",Pacific,1.752935,3,40.607895,121.93998500000001,162.54788,10.224969999999999,11.78355,,,120.0,1.3720299999999999,2,8.2782,6.495,10.55057,5.144335,0,3,0.0,2.81751,1.96735,4.99454,1.0,No,3.160315,0.0,Yes,California,3.3388699999999996,1.0,26.079245,2.478145,0.1653751591633895
1924,368086,55,Associate’s degree in college,Paid employee of a PRIVATE company,1800.0,No,65.0,Not at all,Divorced,,No,Female,,,109.0,,368086,Rest of America,1.20-4 mil,36000.0,36000.0,0.0,0.0,0.0,13.43,0,"House, apartment, flat",East North Central,0.0,1,20.175,50.515,70.69,8.685,0.79,,,10.0,2.72,1,7.88,5.285,0.0,0.0,0,0,0.0,2.495,1.495,0.0,,No,0.0,0.0,Yes,Ohio,0.0,1.0,7.735,0.0,0.10210777777777778
1925,368090,74,High school graduate,,,No,20.0,Not at all,Widowed,,No,Female,,Retired,930.0,,368090,Rest of America,"< 125,000",31408.0,5200.0,0.0,4.125,7.45,2.88,7,"House, apartment, flat",West South Central,1.055,3,16.585,64.055,80.64,0.0,3.34,,,105.0,1.135,1,6.24,1.485,1.145,3.475,0,1,0.98,0.0,0.895,1.885,,No,1.38,0.0,Yes,,2.885,2.0,24.68,0.0,0.13350993377483442
1926,368091,71,Associate’s degree in college,Paid employee of a PRIVATE company,,No,30.0,Not at all,Married,,Yes,Male,,,107.0,,368091,"Los Angeles-Long Beach-Anaheim, CA",4 mil+,144282.0,13095.4,8.49623,2.72,5.0,9.43,0,"House, apartment, flat",Pacific,1.99,2,41.21877,81.885,123.10377,7.485,7.645,,,50.0,6.685,1,4.33,0.0,4.63,0.0,0,2,0.0,0.0,2.0,0.845,1.0,No,11.75,0.0,Yes,California,0.625,1.0,16.75,0.0,0.04436725329562939
1927,368092,54,Master’s or greater,Paid employee of a PRIVATE company,1660.0,No,34.0,Not at all,Divorced,,No,Female,,,103.0,,368092,"Los Angeles-Long Beach-Anaheim, CA",4 mil+,86000.0,86000.0,4.865,13.67,0.0,2.825,7,"House, apartment, flat",Pacific,0.0,3,22.67,108.185,130.855,14.48,7.06,,,75.0,1.49,2,3.125,4.09,17.35,0.0,0,0,7.0,0.0,1.655,2.59,,No,0.0,0.0,Yes,California,3.97,2.0,31.05,4.83,0.07912162790697673
1928,368093,33,Associate’s degree in college,Paid employee of a PRIVATE company,1341.0,No,28.0,Not at all,Married,,No,Female,,,103.0,,368093,Rest of America,"125,000 - 330,000",119926.0,119911.0,1.8021099999999999,3.78,14.665,6.255,2,"House, apartment, flat",East North Central,0.63,4,9.877889999999999,75.09,84.96789,2.09,0.74,,,115.0,1.64,2,0.0,2.505,17.5,7.16,2,0,0.0,0.0,0.0,0.735,1.0,No,0.0,0.0,Yes,,1.93,3.0,5.47,9.99,0.03684213831862982
1929,368095,73,Associate’s degree in college,,,No,,Not at all,Divorced,,No,Female,,Retired,930.0,,368095,Rest of America,"125,000 - 330,000",7848.0,0.0,0.0,2.485,2.02,0.0,0,"House, apartment, flat",Pacific,0.0,1,6.406535,57.52,63.926535,1.575,6.72,,,60.0,1.995,0,0.0,1.49,4.48,11.5,0,1,3.42,0.0,18.565,2.98,,No,0.0,0.0,Yes,California,0.0,2.0,3.71,0.0,0.42357031345565754
1930,368096,50,Master’s or greater,Paid employee of a PRIVATE company,5500.0,No,40.0,Not at all,Married,,No,Male,,,103.0,,368096,"San Francisco-Oakland-Hayward, CA",1.20-4 mil,250000.0,250000.0,22.865,23.545105,0.0,5.26636,4,"House, apartment, flat",Pacific,3.89,4,103.475,152.080005,255.555005,6.599585,18.058145,,,125.0,14.03,2,17.13129,0.0,12.775,0.0,2,0,0.0,0.0,8.495,2.123855,4.0,No,0.0,0.0,Yes,California,1.292815,2.0,32.79285,6.08,0.05315544104
1932,368104,22,High school graduate,A Federal government employee,1758.0,Yes,55.0,Part time,Married,,No,Male,,,115.0,,368104,Rest of America,"125,000 - 330,000",51762.0,51762.0,0.0,0.0,0.0,0.0,0,"House, apartment, flat",South Atlantic,0.0,2,30.415,0.0,30.415,0.0,0.0,,,70.0,0.0,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,No,0.0,0.0,Yes,North Carolina,0.0,2.0,0.0,0.0,0.03055484718519377
1934,368106,36,Associate’s degree in college,Paid employee of a PRIVATE company,532.5,Yes,40.0,Not at all,Divorced,,No,Female,,,110.0,,368106,"Miami-Fort Lauderdale-West Palm Beach, FL",4 mil+,82000.0,82000.0,0.0,0.99,0.0,3.2609049999999997,4,"House, apartment, flat",South Atlantic,0.0,4,8.335,59.075,67.41,12.20078,3.645,,,50.0,3.585,2,2.13,0.0,7.275,0.0,2,0,0.0,0.0,2.61,3.3862400000000004,,No,6.91,0.0,Yes,Florida,7.085,2.0,5.997075,0.0,0.04274780487804878
1935,368107,53,High school graduate,Paid employee of a PRIVATE company,1100.0,No,40.0,Not at all,Widowed,,No,Female,,,111.0,,368107,Rest of America,1.20-4 mil,73422.4,65944.4,0.0,2.145,0.0,0.0,0,"House, apartment, flat",Middle Atlantic,0.0,2,4.495,68.06,72.555,3.69,1.845,,,75.0,1.245,2,34.78,12.47,2.095,0.0,0,0,2.245,0.0,0.0,0.0,,No,0.0,0.0,Yes,New York,1.0,2.0,8.79,0.0,0.05138568066421148
1936,368108,61,Associate’s degree in college,Paid employee of a PRIVATE company,4166.0,No,60.0,Not at all,Married,,No,Female,,,106.0,,368108,"Baltimore-Columbia-Towson, MD",1.20-4 mil,261238.8,233230.8,78.38,2.65,6.37,1.85,0,"House, apartment, flat",South Atlantic,1.34,2,191.43999499999998,56.25,247.689995,9.258405,0.0,,,60.0,1.95,1,4.505,1.25,5.61169,1.625,0,1,4.72,0.0,0.0,8.9,1.0,No,0.0,0.0,Yes,,0.0,3.0,10.939905,0.0,0.0493030887448572
1937,368109,67,Master’s or greater,,,No,,Not at all,Married,,No,Female,,Retired,930.0,,368109,Rest of America,1.20-4 mil,75636.0,0.0,97.175,13.9,5.91,7.135,0,"House, apartment, flat",New England,3.34,2,5.75,117.78,123.53,3.995,13.235,,,100.0,3.64,0,11.685,4.99,12.975,0.0,0,2,1.0,8.01,0.995,2.335,1.0,No,0.0,0.0,Yes,Connecticut,5.795,3.0,15.875,3.965,0.08492728330424666
1938,368110,52,High school graduate,,,No,40.0,Not at all,Married,,No,Male,,"Ill, disabled, unable to work",900.0,,368110,Rest of America,"< 125,000",38976.0,21000.0,3.054295,9.515,3.9312050000000003,5.35,5,"House, apartment, flat",,1.9967549999999998,3,137.675705,83.785,221.460705,0.0,9.12505,,,125.0,6.805,1,2.6397049999999997,4.735,1.3,7.230805,1,0,0.0,11.047989999999999,0.0,0.0,1.0,No,0.0,20.07,No,,0.0,2.0,20.10849,0.0,0.29546276323891624
1939,368113,40,Associate’s degree in college,A local government employee,640.0,No,30.0,Not at all,Divorced,,No,Male,,,103.0,,368113,Rest of America,1.20-4 mil,28000.0,28000.0,22.44,7.7405800000000005,7.38,6.07,1,"House, apartment, flat",Middle Atlantic,2.295,3,7.54,125.204995,132.744995,8.655,17.46278,,,40.0,6.33,2,0.0,0.0,20.81,0.0,1,0,35.695,6.49,3.495,0.0,,No,9.495,0.0,Yes,New York,11.17,1.0,13.686635,4.125,0.24652641928571425
1940,368114,42,Bachelor’s degree,Self-employed,,No,50.0,Not at all,Never married,,Yes,Male,,,206.0,,368114,"Honolulu, HI",0.33-1.19 mil,489049.8,233230.8,0.0,2.09,0.0,0.0,0,"House, apartment, flat",Pacific,2.345,2,44.835,35.49,80.325,0.0,11.22,,,125.0,6.935,2,7.53,0.0,2.615,0.0,0,0,0.0,0.0,0.0,0.0,,No,0.0,0.0,Yes,Hawaii,2.24,1.0,0.515,0.0,0.008540847987260194
1941,368116,69,Master’s or greater,,,No,,Not at all,Married,,No,Male,,Retired,930.0,,368116,Rest of America,"125,000 - 330,000",51016.0,0.0,0.0,15.33,0.0,3.63,0,"House, apartment, flat",South Atlantic,0.595,2,38.9,71.55,110.45,19.425,1.0,,,200.0,0.0,0,0.0,1.5,5.995,0.0,0,2,9.98,0.0,0.0,0.0,1.0,No,0.0,0.0,Yes,Florida,9.79,2.0,14.285,0.0,0.11258036694370395
1942,368119,33,Master’s or greater,Self-employed,,No,45.0,Not at all,Married,,Yes,Female,,,203.0,,368119,"Philadelphia-CamdenWilmington, PA-NJ-DE-MD",4 mil+,309486.6,60000.0,33.098459999999996,15.646154999999998,14.269435000000001,12.375,1,"House, apartment, flat",Middle Atlantic,6.434419999999999,4,137.77154,221.120005,358.891545,25.189335,19.585,,,215.0,6.985,2,2.08881,9.66433,21.633415,2.695,2,0,0.0,7.447760000000001,15.078270000000002,8.774165,1.0,No,2.928595,0.0,Yes,Pennsylvania,18.665,1.0,31.660315,0.0,0.06030102867135443
1944,368123,33,Bachelor’s degree,Paid employee of a PRIVATE company,1900.0,No,40.0,Not at all,Never married,,No,Female,,,107.0,,368123,"Denver-Aurora-Lakewood, CO",1.20-4 mil,64131.2,64131.2,33.53497,0.0,0.0,3.0,0,"House, apartment, flat",Mountain,0.0,1,72.90552,27.57,100.47551999999999,1.66,0.0,,,110.0,0.0,1,6.4,0.0,5.24,0.0,0,0,0.0,0.0,0.0,0.0,,No,0.0,0.0,Yes,Colorado,3.79,1.0,7.48,0.0,0.08146934783693428
1945,368125,36,Some college but no degree,,850.0,No,60.0,Not at all,Married,,No,Female,,Taking care of home/family,910.0,,368125,Rest of America,"125,000 - 330,000",44000.0,44000.0,0.0,1.165,0.0,0.0,4,Mobile home or trailer with NO permanent room added,South Atlantic,2.52,5,25.745,42.825,68.57,0.765,0.0,,,60.0,1.775,1,1.52,3.34,0.0,0.0,3,0,0.0,1.895,0.0,2.02,1.0,No,0.0,8.745,Yes,North Carolina,18.87,1.0,8.955,0.0,0.08103727272727271
1946,368131,19,High school graduate,Paid employee of a PRIVATE company,762.0,No,60.0,Not at all,Never married,,No,Male,,,111.0,,368131,"Detroit-Warren-Dearborn, MI",1.20-4 mil,50000.0,50000.0,0.0,8.515,13.49,3.225,0,"House, apartment, flat",East North Central,0.495,1,72.45871,78.905,151.36371,2.0,0.0,,,70.0,1.79,1,26.925,2.245,5.495,0.0,0,0,6.995,0.0,0.0,3.645,,No,0.0,0.0,Yes,,2.995,,8.085,0.0,0.15741825839999998
1947,368132,60,Bachelor’s degree,Paid employee of a PRIVATE company,,No,40.0,Not at all,Married,,No,Male,,,103.0,,368132,"Los Angeles-Long Beach-Anaheim, CA",4 mil+,218014.8,217739.2,59.72,7.81,15.82,12.065,7,"House, apartment, flat",Pacific,2.49,4,49.51,137.625,187.135,10.63,3.01,,,162.0,5.175,3,3.24,5.14,12.605,8.47363,0,0,14.0,10.19637,6.920030000000001,5.04997,1.0,No,3.745,5.41,Yes,California,4.645,4.0,17.995,2.615,0.04463467617794756
1948,368134,57,High school graduate,,,No,40.0,Not at all,Married,,No,Male,,"Ill, disabled, unable to work",900.0,,368134,"New York-Newark-Jersey City, NY-NJ-PA",4 mil+,56264.2,56264.2,0.0,1.685,14.835,0.625,7,"House, apartment, flat",Middle Atlantic,0.985,3,33.15,107.615,140.765,1.35,5.785,,,100.0,2.745,2,31.675,0.0,6.985,0.0,0,0,22.73,5.32,0.0,0.0,4.0,No,14.235,0.0,Yes,New York,0.0,2.0,14.14,7.25,0.130096580063344
1949,368135,88,Bachelor’s degree,,,No,,Not at all,Widowed,,No,Male,,Retired,930.0,,368135,Rest of America,0.33-1.19 mil,88188.0,0.0,0.0,1.04,0.0,0.0,0,"Group quarters unit, not specified above",East South Central,0.0,1,5.49,8.455,13.945,0.0,0.0,,,0.0,0.0,0,2.185,0.0,1.575,0.0,0,1,0.0,0.0,0.0,0.0,,No,0.0,0.0,Yes,Tennessee,2.615,1.0,1.04,0.0,0.008222660679457523
1951,368138,65,High school graduate,Paid employee of a PRIVATE company,400.0,No,40.0,Not at all,Married,,No,Female,,,110.0,,368138,"Atlanta-Sandy Springs-Roswell, GA",4 mil+,40876.0,24000.0,0.0,13.050664999999999,9.60558,8.331719999999999,0,Mobile home or trailer with NO permanent room added,South Atlantic,1.69301,2,83.39203499999999,153.69,237.08203500000002,7.81527,21.007535,,,100.0,4.295125,1,12.0009,2.135,12.901539999999999,0.0,0,2,5.068985,6.696075,4.995,2.36,1.0,No,10.470125,18.825,Yes,Georgia,14.10874,3.0,15.238715,6.985,0.30160157109306196
1952,368146,64,Some college but no degree,Paid employee of a PRIVATE company,500.0,No,16.0,Not at all,Married,,No,Male,,,106.0,,368146,"Philadelphia-CamdenWilmington, PA-NJ-DE-MD",4 mil+,66000.0,66000.0,4.0,11.025,0.0,7.352345,0,"House, apartment, flat",South Atlantic,0.0,2,123.11327,126.33,249.44327,10.795,6.07,,,200.0,4.865,2,5.69,1.05,7.74,0.0,0,0,0.0,0.55,6.99,2.64824,2.0,No,11.875,0.0,Yes,Delaware,7.19,2.0,39.769415,2.72,0.19653106121212122
1953,368148,40,High school graduate,Paid employee of a PRIVATE company,,No,30.0,Not at all,Divorced,,No,Male,,,101.0,,368148,"Miami-Fort Lauderdale-West Palm Beach, FL",4 mil+,466461.5,466461.5,0.0,9.2,13.612070000000001,3.245,2,"House, apartment, flat",South Atlantic,1.125,5,34.325,93.265,127.59,11.545,1.795,,,500.0,3.0,2,1.33,0.0,3.495,9.28477,3,0,0.0,8.92816,4.396059999999999,0.0,,No,0.0,0.0,Yes,Florida,0.0,3.0,14.01394,8.295,0.014223424655625384
1954,368153,27,Bachelor’s degree,Paid employee of a PRIVATE company,913.0,No,37.0,Not at all,Never married,,No,Male,,,107.0,,368153,Rest of America,1.20-4 mil,45000.0,45000.0,30.361965,0.995,1.675,0.395,0,"House, apartment, flat",Middle Atlantic,0.0,1,89.42716999999999,19.295,108.72216999999999,1.495,1.29,,,50.0,0.0,1,0.0,0.0,2.74,0.0,0,0,0.0,0.0,0.0,0.99,,No,0.0,0.0,Yes,New York,0.0,1.0,7.72,1.995,0.12563450755555555
1956,368157,59,Grade 8 or lower,Self-employed,600.0,Yes,70.0,,Separated,,Yes,Male,,,211.0,,368157,"Dallas-Fort Worth-Arlington, TX",4 mil+,48366.6,22000.0,0.0,0.0,0.0,0.0,0,"House, apartment, flat",West South Central,0.0,1,42.41,2.09,44.5,0.0,0.0,,,100.0,1.095,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,,No,0.0,0.0,Yes,Texas,0.0,1.0,0.995,0.0,0.04784293293305711
1957,368159,30,Associate’s degree in college,Paid employee of a PRIVATE company,2500.0,Yes,40.0,Not at all,Married,,No,Male,,,112.0,,368159,Rest of America,"< 125,000",60000.0,60000.0,0.0,6.51,3.53,2.73,1,"House, apartment, flat",,2.71,3,56.06609,54.98,111.04608999999999,5.5,1.48,,,90.0,2.53,1,1.455,2.89,7.61,1.99,1,0,0.0,1.94,0.8800549999999999,1.1099450000000002,1.0,No,0.0,0.0,No,,0.0,3.0,12.115,0.0,0.09623994466666666
1959,368164,67,High school graduate,,,No,,Not at all,Married,,No,Male,,Retired,930.0,,368164,Rest of America,1.20-4 mil,39678.2,0.0,21.78,7.415,0.0,15.67,0,"House, apartment, flat",Middle Atlantic,0.0,2,0.0,157.895,157.895,0.0,14.105,,,,6.42,0,36.39,7.21,4.35,4.135,0,1,62.05,4.975,1.31345,7.63155,1.0,No,0.0,0.0,Yes,New York,0.0,3.0,38.94,9.34,0.20692823767207186
1960,368166,61,Master’s or greater,Paid employee of a PRIVATE company,3392.0,No,50.0,Not at all,Never married,,No,Female,,,103.0,,368166,"New York-Newark-Jersey City, NY-NJ-PA",4 mil+,76105.6,76049.8,33.774275,3.245,0.0,2.19,0,"House, apartment, flat",Middle Atlantic,1.64,1,37.725725,83.715,121.440725,5.81286,4.2027,,,100.0,5.925,1,5.61,0.0,13.755,3.505,0,0,0.0,0.0,3.425,1.11944,,No,1.5,0.0,Yes,New York,0.0,,22.66,9.125,0.08297572977546987
1961,368167,79,Master’s or greater,,,No,,Not at all,Widowed,,No,Female,,Retired,930.0,,368167,"New York-Newark-Jersey City, NY-NJ-PA",4 mil+,48823.0,0.0,0.0,19.195,0.0,5.98,0,"House, apartment, flat",Middle Atlantic,0.0,1,51.91,73.4,125.31,5.99,0.0,,,30.0,3.49,0,1.335,1.145,6.985,2.115,0,1,0.0,0.0,10.215,0.0,,No,0.0,0.0,Yes,New Jersey,1.745,1.0,15.205,0.0,0.13346414599676382
1963,368170,28,High school graduate,Paid employee of a PRIVATE company,805.0,Yes,49.5,Not at all,Married,,No,Male,,,110.0,,368170,"Denver-Aurora-Lakewood, CO",1.20-4 mil,76000.0,76000.0,9.08,2.335,0.0,12.995,1,"House, apartment, flat",Mountain,0.0,3,79.48,71.16,150.64,7.95,11.045,,,200.0,6.99,2,4.855,4.495,10.85,3.705,1,0,0.0,0.0,0.0,0.0,1.0,No,0.0,0.0,Yes,Colorado,0.0,1.0,5.94,0.0,0.10306947368421052
1965,368178,42,Some college but no degree,Paid employee of a PRIVATE company,980.0,No,42.5,Not at all,Married,,No,Female,,,106.0,,368178,Rest of America,"< 125,000",66000.0,66000.0,0.0,6.875,4.6,7.715,3,"House, apartment, flat",,0.0,3,156.691105,88.145,244.83610499999998,5.455,2.98,,,100.0,2.5,2,16.17,0.0,3.825,4.09,1,0,2.04,0.0,0.0,0.0,1.0,No,0.0,0.0,No,,7.96,2.0,25.975,0.0,0.1929011736363636
